# global_mean_precip amazon_mean_precip congo_mean_precip seasia_mean_precip
3.336344915801484382e-05 4.170236908119841901e-05 6.242211426052803394e-05 8.139096607742581210e-05
3.273788378922001167e-05 3.782747928333304177e-05 6.573957824893305907e-05 7.662354820393988601e-05
3.393007725926817865e-05 3.909044850459362602e-05 6.839884698764327501e-05 8.432724955567870114e-05
3.339833284322193182e-05 4.350744125196427014e-05 6.017621831164916179e-05 9.167800699236645565e-05
3.358514717762416422e-05 4.336154020639634637e-05 6.128877357195390313e-05 9.773419622719280262e-05
3.366635558301047737e-05 3.754811017826813419e-05 5.966013829669508108e-05 8.446914969502880024e-05
3.550160074439736777e-05 4.133816835883006755e-05 6.003770126033533127e-05 8.498483915586497876e-05
3.528046315178648223e-05 4.115320944193160237e-05 6.777807870721927724e-05 8.601148158799346965e-05
3.256879606925023029e-05 3.942212616095974753e-05 6.666429643999388730e-05 7.974677248556862703e-05
3.380311845383333208e-05 3.906179341813817370e-05 6.755672859220994918e-05 8.363880466644368027e-05
3.384035730140924527e-05 4.294514870469238880e-05 6.717431185365907084e-05 9.449482495763737884e-05
3.315488815239831406e-05 4.495115622881206324e-05 6.291923535463210331e-05 9.375011090637922937e-05
3.544355641402076697e-05 4.024456809007484226e-05 6.025499846611179488e-05 8.447634854360539056e-05
3.261164711227661580e-05 4.807837841831304535e-05 5.809555604727784821e-05 9.699691308311290754e-05
3.334480862316359774e-05 4.256344121348141888e-05 5.418345529801790115e-05 7.757947245024296001e-05
3.293097874720345348e-05 4.344686556676414791e-05 4.767977915588973221e-05 7.763925117156863067e-05
3.361679093319068468e-05 3.825295549696778073e-05 6.319972884285030598e-05 8.152473105460789602e-05
3.427088580369341868e-05 4.049478685681228720e-05 6.285599492788765581e-05 8.666515184740780089e-05
3.527270719266574597e-05 4.347755020548057256e-05 7.713396857322819475e-05 9.328928935467121250e-05
3.397469040615897060e-05 4.258995739690576759e-05 6.941669191879587335e-05 9.376252968001870568e-05
3.392473136307976018e-05 4.212059610712338975e-05 6.450424002874169231e-05 9.073749768967218445e-05
3.269881263898696334e-05 3.794662165917593816e-05 6.123551480203065435e-05 8.614490976406829993e-05
3.354739114998772089e-05 4.048946798257153646e-05 6.854844396915941811e-05 7.798486514633451341e-05
3.375834229389402548e-05 4.747914021100250071e-05 6.658150753632228721e-05 9.343554493571542370e-05
3.382654758828389143e-05 4.009146195535543783e-05 6.961108437918654820e-05 8.408959434333144133e-05
3.383668481511180288e-05 3.852534461939838799e-05 6.871901858825751051e-05 8.058697715388207794e-05
3.390384522572891565e-05 4.175764770883129895e-05 5.983140545634084835e-05 7.123259252087533956e-05
3.453570373556302879e-05 3.962491357202954829e-05 6.727658841594882997e-05 7.729114380931379792e-05
3.405478044578871360e-05 3.699690307438568092e-05 6.432810174037516943e-05 8.171658066947935252e-05
3.421841320418341067e-05 3.909491657047572212e-05 7.004795034649837057e-05 8.787278028083412803e-05
3.431196682366726536e-05 4.159623287004494269e-05 6.455555159420315518e-05 7.652501771853723923e-05
3.361099422459853546e-05 3.950264905343988216e-05 6.813531335427314996e-05 7.950902976963605698e-05
3.571311393749319039e-05 4.184043311756232214e-05 6.370397321807224884e-05 8.800690100187559051e-05
3.469541640371817995e-05 4.590885793938936682e-05 7.037778668428541643e-05 9.764044470378752756e-05
3.497020948692868448e-05 4.594333298436553497e-05 5.760782484465336057e-05 7.768744969230680585e-05
3.426211545142299680e-05 4.667313399762511452e-05 6.475433329058073219e-05 9.736732342335171716e-05
3.255089703780221863e-05 3.697144912329517678e-05 6.042226171149017852e-05 8.302547060820087213e-05
3.588266995214449428e-05 4.104033931602203028e-05 6.742187518898651224e-05 8.861480093996451386e-05
3.409824318362191908e-05 3.990115346927051835e-05 6.429640103511930665e-05 8.396321568454591605e-05
3.516264622945827799e-05 4.473826843382354732e-05 7.496895013342438918e-05 8.935762417577296235e-05
3.367295660835687815e-05 4.552506939538434520e-05 5.849119574582367019e-05 9.557669163481991264e-05
3.361616886521890480e-05 4.243621455927678362e-05 4.740057086688674164e-05 7.175988162890575980e-05
3.289505602742587228e-05 3.699661498629405672e-05 6.384211915639547406e-05 8.550279670332135271e-05
3.368281368918843650e-05 4.269509301898803726e-05 6.852864586895009711e-05 9.256769704194438362e-05
3.379024651805617865e-05 3.998535659714205087e-05 5.772031339860236746e-05 9.037714418643876804e-05
3.433249297844577405e-05 4.009510924400764035e-05 6.300036900356210826e-05 8.786022534083755839e-05
3.286293207165928644e-05 4.769124397241896271e-05 6.098848185148939965e-05 9.320209916521235731e-05
3.330865775289086367e-05 4.208772896999744882e-05 6.164716921733259802e-05 7.472161754035880669e-05
3.501460066899531753e-05 4.355949273905162866e-05 7.828972985382182440e-05 9.322349402396088466e-05
3.399523159289595211e-05 4.107828109777497558e-05 6.597907106490825729e-05 8.875456087296375253e-05
3.387595296436430442e-05 4.107307867414583638e-05 6.542626244658084544e-05 8.334782473530633431e-05
3.555032295367568040e-05 4.039122368052544331e-05 6.865171358324361872e-05 8.014363205421337860e-05
3.381681453198878966e-05 3.958411144693924137e-05 6.721004525071718350e-05 8.546805706699391427e-05
3.332242017480685075e-05 4.409355045512396615e-05 6.386080836784942640e-05 8.787537391640885733e-05
3.523317568553248710e-05 4.462573503400292919e-05 7.368512485771449617e-05 9.290261931763134384e-05
3.332846316645463551e-05 4.363941217194055336e-05 7.149955373433166327e-05 9.331979445122579866e-05
3.462511352327445470e-05 4.443192234981048288e-05 6.804343637510068521e-05 9.387278363690146126e-05
3.452443808484367344e-05 3.991222234720637484e-05 6.615274887850749119e-05 7.881673304960076949e-05
3.348104267852523088e-05 4.320603163462324468e-05 5.701877932329380011e-05 9.188800318316327187e-05
3.388864264083389031e-05 3.860099775784561294e-05 6.904489176919334579e-05 8.024663436253601516e-05
3.365168338479487933e-05 4.087712574028248646e-05 7.221041529874586086e-05 8.550505814102018511e-05
3.362530249887886203e-05 3.690544162648714974e-05 5.793872334209149220e-05 8.014899398260182616e-05
3.393003074145679301e-05 4.103182351848542683e-05 6.772474490276893418e-05 8.878759124408349302e-05
3.390156791539599779e-05 3.883817651246231035e-05 6.698554949440330402e-05 8.461680528929540210e-05
3.290711558638311808e-05 3.830733156996015890e-05 6.483911109441302726e-05 8.184735138813995729e-05
3.360356802948073480e-05 3.697582626605486856e-05 5.860204000465902180e-05 8.152061113414482826e-05
3.370443663267175841e-05 3.904711088539117471e-05 6.347880109170964179e-05 7.784211223715945807e-05
3.398259524866597821e-05 3.827517915672764290e-05 6.418538515753990459e-05 8.266337341025861046e-05
3.352370612982665275e-05 4.379668104930662981e-05 6.054046577981028320e-05 8.933482152866217807e-05
3.235569897014067560e-05 4.015516726792551442e-05 5.833872280686847229e-05 8.002327986114709038e-05
