# global_mean_temp amazon_mean_temp congo_mean_temp seasia_mean_temp
2.880738483034337492e+02 3.024391867165113013e+02 2.987975373876342928e+02 3.021895624432256113e+02
2.875229805530180442e+02 3.011141090632594342e+02 2.978742524890369054e+02 3.018935440382385309e+02
2.882090919443125472e+02 3.022240227835252995e+02 2.990501133759702270e+02 3.027412266224312134e+02
2.882145421206901119e+02 3.026722797159059155e+02 2.990857468510035915e+02 3.027102795987044033e+02
2.886694809178498531e+02 3.026515038524526631e+02 3.004210319256616231e+02 3.032878705552226961e+02
2.891068674423818265e+02 3.037165192856813860e+02 3.007432854943527332e+02 3.029400370601364330e+02
2.902533071153627589e+02 3.053711440856448576e+02 3.018787607151552379e+02 3.038455416073636002e+02
2.891843214304979597e+02 3.037093851903767359e+02 3.010058670952375905e+02 3.034391374460298039e+02
2.870807671210710623e+02 3.003177965963092220e+02 2.977662298865995467e+02 3.017600376392819612e+02
2.883650135358033708e+02 3.022410107956869183e+02 2.996788145691292016e+02 3.026839660859000105e+02
2.884568349775718730e+02 3.022536692731124504e+02 2.999292382407290347e+02 3.032068330555395050e+02
2.900709826980771027e+02 3.036667308506089853e+02 3.020232644548851795e+02 3.044682919458691686e+02
2.901399973602715363e+02 3.043551195847361441e+02 3.025176196537301507e+02 3.038831090238018646e+02
2.889877246148245717e+02 3.023465988234204929e+02 3.001001235515166741e+02 3.037379076522065589e+02
2.865379527242833433e+02 2.986821583525543815e+02 2.960274312133921057e+02 3.010875213605814906e+02
2.873730104494011925e+02 2.999441214559128639e+02 2.972229294451321380e+02 3.019795259415334385e+02
2.879360299581676941e+02 3.020758884443226293e+02 2.994893515698085480e+02 3.024566208915431957e+02
2.898422992891840977e+02 3.040437500471219892e+02 3.017316690330187043e+02 3.040588078786661299e+02
2.895461646132550868e+02 3.019077032555075562e+02 2.992746819407183239e+02 3.033573612529920638e+02
2.887965152305996526e+02 3.032519161593162380e+02 3.001411553374720143e+02 3.032565858710970588e+02
2.887141657227257951e+02 3.031777757519508327e+02 3.001170160466180619e+02 3.031721109137214967e+02
2.884604508094552102e+02 3.023213327540074147e+02 2.999324507614511504e+02 3.026414472700734564e+02
2.874609665192544981e+02 3.005552116781753966e+02 2.978253166840495965e+02 3.018703316885257664e+02
