g_wood_io1 g_wood_io2 g_wood_io3 g_wood_io4 g_wood_io5 g_wood_io6 g_wood_io7 g_wood_io8 g_wood_io9 g_wood_io10 g_wood_io11 g_wood_io12 g_wood_io13 retran_r_io1 retran_r_io2 retran_r_io3 retran_r_io4 retran_r_io5 retran_r_io6 retran_r_io7 retran_r_io8 retran_r_io9 retran_r_io10 retran_r_io11 retran_r_io12 retran_r_io13 hw_sw_io1 hw_sw_io2 hw_sw_io3 hw_sw_io4 hw_sw_io5 hw_sw_io6 hw_sw_io7 hw_sw_io8 hw_sw_io9 hw_sw_io10 hw_sw_io11 hw_sw_io12 hw_sw_io13 knl_io1 knl_io2 knl_io3 knl_io4 knl_io5 knl_io6 knl_io7 knl_io8 knl_io9 knl_io10 knl_io11 knl_io12 knl_io13 a_wl_io1 a_wl_io2 a_wl_io3 a_wl_io4 a_wl_io5 a_wl_io6 a_wl_io7 a_wl_io8 a_wl_io9 a_wl_io10 a_wl_io11 a_wl_io12 a_wl_io13 kaps_roth1 kaps_roth2 kaps_roth3 kaps_roth4 n_inorg_turnover sorp g_root_io retran_l_io l_vg_soil
3.419368e-02 1.114834e-02 4.424660e-02 2.514699e-02 1.673842e-02 3.116184e-01 2.818861e-01 2.641308e-01 2.796810e-01 1.931338e-01 2.218291e-01 8.674286e-02 6.321974e-02 7.111252e-01 9.778643e-01 3.118849e-01 3.278723e-01 5.878183e-01 4.391996e-01 6.216229e-01 3.533498e-01 6.011709e-01 8.410342e-01 2.957657e-01 8.667818e-01 3.597753e-01 3.785729e-01 2.857005e-01 7.997353e-01 7.140219e-01 3.547790e-01 4.623060e-01 4.688142e-01 2.250844e-01 8.627122e-01 1.162729e-01 7.512480e-02 2.004254e-01 6.194601e-01 3.710489e-01 4.488948e-01 2.749911e-01 3.321364e-01 2.133853e-01 2.438425e-01 3.734311e-01 2.471238e-01 2.977379e-01 3.375473e-01 2.899127e-01 3.819539e-01 3.804103e-01 7.208986e-01 1.115006e+00 6.777721e-01 1.323295e+00 8.671248e-01 5.049299e-03 5.110613e-03 8.081411e-03 7.910487e-03 7.675001e-03 6.657795e-03 3.304125e-01 1.458639e-01 1.640367e-07 7.774170e-09 1.439396e-08 5.654075e-10 5.649183e+00 1.013790e+01 1.570671e+00 6.984612e-01 5.735363e-01
1.733954e-02 3.515370e-02 4.177020e-02 3.995624e-02 3.048612e-02 2.866554e-01 2.885818e-01 1.627010e-01 3.718024e-01 1.255212e-01 2.623093e-01 7.383819e-02 5.554006e-02 2.360433e-01 8.893299e-02 3.986627e-01 6.123824e-01 6.197224e-01 4.057693e-01 6.377426e-01 2.887179e-01 1.976983e-01 4.244207e-01 5.777723e-01 8.378114e-01 7.416795e-01 6.715055e-01 9.731165e-01 4.901600e-01 5.624892e-01 3.108397e-01 5.270266e-01 3.858552e-01 7.454966e-01 3.554790e-01 3.858947e-01 7.874938e-01 5.640927e-01 3.367999e-01 1.201380e-01 2.278962e-01 4.169443e-01 2.598000e-01 2.766012e-01 3.121634e-01 3.276105e-01 2.673230e-01 1.445443e-01 2.944553e-01 2.431690e-01 3.104768e-01 3.681542e-01 5.696679e-01 1.051612e+00 6.989336e-01 6.008281e-01 7.560825e-01 4.570485e-03 5.543776e-03 7.588102e-03 6.840227e-03 4.590972e-03 7.067868e-03 2.735349e-01 1.175332e-01 2.837244e-07 6.187459e-09 1.588533e-08 3.686430e-10 3.611585e+00 3.806924e+00 1.795918e+00 1.364669e+00 2.419245e-01
3.016131e-02 9.232950e-03 3.119820e-02 2.978484e-02 3.745875e-02 1.255276e-01 4.432321e-01 3.136158e-01 3.098913e-01 2.509275e-01 3.172627e-01 6.400903e-02 4.393661e-02 5.160417e-01 2.492678e-01 7.617282e-01 7.167078e-01 6.665362e-01 2.596343e-01 5.376210e-01 4.831280e-01 3.798584e-01 2.367370e-01 3.998317e-01 5.137302e-01 9.941629e-01 5.232435e-01 2.524183e-01 4.063364e-01 3.655755e-01 5.444984e-01 4.711083e-01 4.121029e-01 7.881372e-01 6.246267e-01 7.916325e-01 2.783322e-01 2.289149e-01 4.098845e-01 4.210082e-01 3.275569e-01 3.413992e-01 2.976231e-01 1.463769e-01 3.289035e-01 2.261725e-01 2.489609e-01 1.313620e-01 3.107888e-01 2.740586e-01 3.263886e-01 2.809348e-01 1.138015e+00 7.290595e-01 8.349173e-01 1.027235e+00 1.145254e+00 5.153298e-03 5.735152e-03 6.551249e-03 4.414175e-03 4.805703e-03 5.246945e-03 3.631992e-01 2.520706e-01 1.969212e-07 7.319137e-09 1.411524e-08 4.093319e-10 5.214074e+00 5.507202e+00 1.185817e+00 8.476479e-01 9.468870e-01
2.268150e-02 1.498127e-02 3.315332e-02 2.296398e-02 1.615593e-02 2.079707e-01 3.513479e-01 3.430962e-01 1.413811e-01 3.776815e-02 1.250728e-01 5.309350e-02 3.184615e-02 4.897829e-01 5.558916e-01 8.270354e-01 6.450021e-01 4.094632e-01 8.136336e-01 5.299830e-02 2.468752e-01 4.160014e-01 4.690100e-01 1.229872e-03 5.299714e-01 4.485423e-01 2.276178e-01 2.437408e-01 6.451959e-02 8.594057e-01 4.653912e-01 2.018204e-01 2.111220e-02 6.075953e-01 2.488461e-01 5.776258e-01 7.694497e-01 9.540756e-01 8.308985e-01 4.556531e-01 2.313836e-01 2.302850e-01 4.443087e-01 3.787157e-01 1.121243e-01 3.360775e-01 4.673764e-01 2.289966e-01 3.960243e-01 3.320766e-01 2.772821e-01 4.425775e-01 1.174458e+00 1.267955e+00 1.004825e+00 1.569113e+00 7.247784e-01 4.970402e-03 4.825846e-03 5.158867e-03 3.658110e-03 7.261879e-03 6.827089e-03 3.161609e-01 1.660576e-01 1.623185e-07 4.752206e-09 1.465405e-08 4.506912e-10 6.752013e+00 8.817953e+00 1.770826e+00 1.090658e+00 8.241378e-01
3.303240e-02 9.763068e-03 3.905517e-02 1.074660e-02 3.245202e-02 2.845261e-01 3.708986e-01 3.386417e-01 1.942410e-01 2.112893e-01 3.129274e-01 8.853504e-02 3.974732e-02 2.827276e-01 5.226353e-01 2.833236e-01 3.805249e-01 2.537227e-01 1.391655e-01 5.282039e-01 4.401959e-01 9.921585e-01 8.036652e-01 4.144795e-01 4.510440e-01 4.569265e-01 5.465131e-01 5.219312e-01 7.664120e-02 1.138570e-01 2.249776e-01 4.891669e-01 7.096652e-01 8.650494e-01 3.631168e-01 5.938417e-01 6.148121e-01 7.058585e-01 8.148537e-01 3.990255e-01 2.866449e-01 3.882324e-01 3.964107e-01 3.078576e-01 4.576851e-01 3.059493e-01 2.787728e-01 1.920977e-01 2.615967e-01 1.082379e-01 4.624480e-01 3.901186e-01 1.223006e+00 1.390193e+00 7.689828e-01 1.065022e+00 3.274265e-01 9.119722e-03 6.266137e-03 5.232176e-03 6.063575e-03 5.883637e-03 5.904378e-03 2.962479e-01 1.595060e-01 1.069792e-07 5.469419e-09 1.256937e-08 3.083325e-10 1.802956e+00 8.015756e+00 1.488796e+00 8.259514e-01 1.524699e-01
3.298927e-02 3.484130e-02 3.719506e-02 3.274559e-02 2.756137e-02 4.287867e-01 1.110468e-01 2.058573e-01 2.965848e-02 1.483494e-01 2.516432e-01 2.290561e-02 4.879343e-02 6.782401e-01 3.999857e-01 3.370560e-01 5.883542e-01 8.683159e-01 4.995403e-01 9.214969e-01 1.866262e-01 5.452418e-01 7.968738e-01 8.246036e-01 1.913860e-01 3.172725e-01 6.567305e-01 5.075057e-01 3.841798e-01 6.430990e-01 7.493119e-01 8.231482e-01 4.281430e-01 7.126825e-01 6.828588e-01 7.393479e-01 1.592978e-01 5.113960e-01 6.447318e-01 2.963565e-01 2.682122e-01 4.472860e-01 2.297299e-01 1.295616e-01 2.331647e-01 4.252866e-01 2.825029e-01 4.114810e-01 4.621953e-01 3.875200e-01 2.431058e-01 3.060628e-01 9.665502e-01 6.010473e-01 8.176924e-01 9.925961e-01 3.710743e-01 3.954062e-03 8.246256e-03 5.725248e-03 7.497007e-03 5.583077e-03 5.840051e-03 1.047786e-01 2.031447e-01 1.150786e-07 7.556161e-09 1.135586e-08 4.287006e-10 6.259164e+00 7.460160e-01 1.387486e+00 7.544425e-01 6.350151e-01
2.843522e-02 2.559517e-02 1.267738e-02 4.451733e-03 4.477265e-02 3.370968e-01 5.396994e-02 4.404325e-02 1.151104e-01 2.225845e-01 4.106957e-01 4.160915e-02 1.350245e-02 3.907493e-01 3.816377e-02 4.563779e-01 6.074888e-01 3.352132e-01 5.705345e-01 2.288252e-01 8.329534e-01 6.053013e-02 4.417911e-01 5.964505e-01 6.267851e-01 2.526218e-01 2.478208e-01 5.406820e-01 2.759474e-01 3.047607e-01 2.914598e-01 5.381526e-01 4.408608e-01 2.338707e-01 5.905409e-01 7.334822e-02 4.620146e-01 9.302905e-01 9.230790e-01 1.923211e-01 3.531660e-01 1.801736e-01 4.321018e-01 3.556684e-01 2.229129e-01 2.479210e-01 1.106937e-01 3.990064e-01 2.095345e-01 4.130479e-01 3.501344e-01 3.593463e-01 8.334789e-01 1.623736e+00 5.669536e-01 1.544787e+00 1.066093e+00 7.660515e-03 3.220135e-03 6.042304e-03 7.032396e-03 6.238613e-03 7.263982e-03 3.266418e-01 1.293478e-01 2.375307e-07 7.482697e-09 1.030038e-08 2.328295e-10 3.486009e+00 3.371736e+00 1.268097e+00 1.432562e+00 1.216639e-01
1.011344e-02 1.267006e-02 1.775614e-02 4.127225e-02 4.380103e-02 2.484917e-01 1.044959e-01 3.697105e-01 1.077714e-01 1.706576e-01 3.333044e-01 1.631527e-02 3.292399e-02 5.336859e-01 7.347420e-01 6.547560e-01 6.883379e-01 3.731882e-01 1.425573e-01 4.874174e-01 3.299120e-01 2.913221e-01 4.342507e-01 1.360416e-01 2.561670e-01 2.427587e-01 9.164361e-01 3.093088e-01 1.622302e-01 6.986941e-01 5.816557e-01 2.448644e-01 6.270718e-01 3.953511e-02 6.157529e-01 7.052570e-01 4.060233e-01 7.476105e-01 6.991027e-01 3.868315e-01 4.081020e-01 1.355736e-01 2.822091e-01 3.584933e-01 1.887226e-01 3.807604e-01 2.373655e-01 4.186686e-01 1.146298e-01 4.870275e-01 1.812038e-01 2.483552e-01 7.392274e-01 6.560513e-01 1.260363e+00 4.149430e-01 4.130219e-01 5.281830e-03 5.316647e-03 8.049065e-03 9.000726e-03 9.153011e-03 9.993297e-03 1.380865e-01 8.083394e-02 2.483585e-07 7.388306e-09 1.009166e-08 1.779366e-10 2.946628e+00 1.802439e+01 6.437377e-01 1.124240e+00 3.852070e-01
1.867933e-02 3.417757e-02 1.983931e-02 3.535007e-02 3.796907e-02 2.171045e-01 2.273960e-01 3.476623e-01 2.471313e-01 2.637743e-01 3.750498e-01 3.162817e-02 7.918251e-02 2.749547e-01 2.835252e-01 5.847581e-01 2.341575e-01 5.567378e-01 6.235219e-01 1.118819e-03 9.380202e-01 6.762816e-01 7.308596e-01 2.081436e-01 8.216019e-01 7.553493e-01 2.599906e-01 4.697732e-01 6.158760e-01 6.897902e-01 2.156591e-01 7.937811e-01 1.612435e-01 2.933965e-01 1.830873e-01 4.100470e-01 3.623526e-01 2.500481e-01 4.131561e-01 1.814056e-01 1.185251e-01 1.702601e-01 3.422382e-01 3.610713e-01 4.931521e-01 3.533997e-01 4.038552e-01 1.592382e-01 1.979569e-01 1.931650e-01 1.009061e-01 1.918667e-01 7.854255e-01 7.772244e-01 9.405275e-01 1.556855e+00 8.123108e-01 3.374908e-03 8.199168e-03 5.845836e-03 3.873713e-03 6.004368e-03 3.508511e-03 3.098615e-01 7.585990e-02 2.615954e-07 4.266610e-09 1.216334e-08 3.878054e-10 4.080254e+00 7.066684e+00 1.027851e+00 6.547004e-01 3.150799e-01
4.609910e-02 2.847621e-02 1.532756e-02 4.238362e-02 4.051818e-03 1.314119e-01 3.452719e-01 1.120330e-01 3.938827e-01 3.467280e-01 2.836139e-01 4.251506e-02 5.344736e-02 2.160381e-01 8.439768e-01 6.628721e-01 3.516503e-01 6.077546e-01 9.232557e-02 4.310737e-01 5.366005e-01 7.529984e-03 2.111084e-01 7.148892e-01 6.983667e-01 6.570767e-01 4.849758e-01 6.927506e-01 4.609130e-01 5.567315e-01 6.310701e-01 7.809301e-01 3.153520e-01 3.615428e-01 4.176505e-01 4.040793e-01 5.554826e-01 2.638637e-01 2.096313e-01 4.947408e-01 4.644834e-01 3.162176e-01 2.889425e-01 2.163750e-01 3.260868e-01 4.391132e-01 2.750555e-01 3.582966e-01 1.191152e-01 3.483881e-01 3.679173e-01 4.110649e-01 9.205749e-01 1.379221e+00 1.010112e+00 4.585967e-01 1.046389e+00 3.672560e-03 4.241651e-03 7.091986e-03 8.782364e-03 6.891215e-03 3.033059e-03 3.022662e-01 2.137483e-01 2.937363e-07 6.798959e-09 1.777099e-08 4.236508e-10 3.947093e+00 1.858090e+01 1.080717e+00 7.626941e-01 7.133713e-01
