ÓBIDOS   
 obs upstream area=4.67e+06 
 mod upstream area=4.61644e+06 
 mod gridbox area=2.55505e+09 
 obs longitude=-55.5131 
 obs latitude=-1.9192
 datem rflowobs rflowS0_rescale rflowS1_rescale rflowS2_rescale rflowS3_rescale
 1901.04 -999.0 65710.5225534 65710.5225534 65710.5225534 65710.5225534
 1901.12 -999.0 83177.6657926 83176.0000209 83177.6657926 83177.6657926
 1901.2 -999.0 110815.987432 110808.688848 110815.987432 110815.987432
 1901.29 -999.0 141091.63983 141077.013776 141091.63983 141091.63983
 1901.37 -999.0 163172.359467 163155.740265 163172.359467 163172.359467
 1901.45 -999.0 146924.13269 146909.564409 146924.13269 146924.13269
 1901.54 -999.0 123751.446695 123736.512521 123751.446695 123751.446695
 1901.62 -999.0 109360.651737 109346.728581 109360.651737 109360.651737
 1901.71 -999.0 90959.5834402 90947.4319721 90959.5834402 90959.5834402
 1901.79 -999.0 86233.0667529 86222.2633082 86233.0667529 86233.0667529
 1901.87 -999.0 68172.5380545 68161.8838552 68172.5380545 68172.5380545
 1901.96 -999.0 70348.8496239 70332.9862771 70348.8496239 70348.8496239
 1902.04 -999.0 75908.1944275 75888.0511064 75908.1944275 75908.1944275
 1902.12 -999.0 85607.8053546 85588.1916141 85608.2964203 85608.2964203
 1902.2 -999.0 105252.704474 105238.068791 105255.708641 105255.708641
 1902.29 -999.0 141369.708172 141351.63503 141376.506061 141376.506061
 1902.37 -999.0 152590.500923 152569.510273 152599.080129 152599.080129
 1902.45 -999.0 143362.548942 143347.865116 143371.051118 143371.051118
 1902.54 -999.0 123703.668894 123692.220324 123710.283837 123710.283837
 1902.62 -999.0 95915.678142 95909.0920848 95921.2435529 95921.2435529
 1902.71 -999.0 77962.7024537 77958.2250903 77967.868272 77967.868272
 1902.79 -999.0 60974.6034027 60971.738853 60978.9170776 60978.9170776
 1902.87 -999.0 53394.8170501 53392.703542 53399.5929044 53399.5929044
 1902.96 -999.0 60985.2527876 60981.2087174 60991.5596114 60991.5596114
 1903.04 -999.0 80963.806957 80958.2415461 80974.0134199 80974.0134199
 1903.12 -999.0 112556.651538 112548.447853 112572.230837 112572.230837
 1903.2 -999.0 148388.114993 148372.246831 148419.716513 148419.716513
 1903.29 -999.0 157397.716069 157392.169915 157447.034468 157447.034468
 1903.37 -999.0 163248.484275 163244.151342 163305.486407 163305.486407
 1903.45 -999.0 143516.233239 143514.663754 143558.773006 143558.773006
 1903.54 -999.0 134175.470956 134171.552059 134210.85657 134210.85657
 1903.62 -999.0 112422.292119 112418.498396 112445.141116 112445.141116
 1903.71 -999.0 82708.0722113 82707.1863673 82723.5648517 82723.5648517
 1903.79 -999.0 64569.3629698 64570.9228255 64581.6347972 64581.6347972
 1903.87 -999.0 58606.246642 58606.6558633 58618.2873796 58618.2873796
 1903.96 -999.0 55832.6451599 55834.5757219 55845.5428552 55845.5428552
 1904.04 -999.0 67636.5398774 67634.6670877 67657.2464797 67657.2464797
 1904.12 -999.0 86878.3848136 86884.2102005 86913.693398 86913.693398
 1904.2 -999.0 131445.136211 131449.709862 131532.786618 131532.786618
 1904.29 -999.0 158663.943338 158675.863716 158773.296922 158773.296922
 1904.37 -999.0 146094.164309 146106.806843 146166.668711 146166.668711
 1904.45 -999.0 148909.463044 148918.735519 148973.417126 148973.417126
 1904.54 -999.0 130921.169142 130925.46356 130967.83001 130967.83001
 1904.62 -999.0 98869.8810596 98872.6252501 98901.1455738 98901.1455738
 1904.71 -999.0 69739.3552851 69743.3849122 69762.5172158 69762.5172158
 1904.79 -999.0 53409.4334753 53413.7664077 53428.1180425 53428.1180425
 1904.87 -999.0 50246.7202234 50253.5469991 50266.0162155 50266.0162155
 1904.96 -999.0 66010.5588624 66016.0713152 66045.9252193 66045.9252193
 1905.04 -999.0 69396.0763111 69403.6637571 69456.0681669 69456.0681669
 1905.12 -999.0 77694.9850058 77715.4605184 77774.1284227 77774.1284227
 1905.2 -999.0 97103.2386168 97134.7727357 97185.9205951 97185.9205951
 1905.29 -999.0 118671.574558 118697.697326 118785.107015 118785.107015
 1905.37 -999.0 137785.776121 137815.528924 137934.780851 137934.780851
 1905.45 -999.0 132982.316184 133010.711334 133072.730039 133072.730039
 1905.54 -999.0 119745.246313 119767.584987 119806.918384 119806.918384
